,Acne_vulgaris,Acute_glomerulonephritis,Acute_hepatitis,Adverse_effects_of_medical_treatment,African_trypanosomiasis,Age-related_and_other_hearing_loss,Alcohol_use_disorders,Alopecia_areata,Alzheimer's_disease_and_other_dementias,Animal_contact,Anxiety_disorders,Aortic_aneurysm,Appendicitis,Asthma,Atrial_fibrillation_and_flutter,Attention-deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bacterial_skin_diseases,Bipolar_disorder,Bladder_cancer,Blindness_and_vision_loss,Brain_and_central_nervous_system_cancer,Breast_cancer,COVID-19,Cardiomyopathy_and_myocarditis,Cervical_cancer,Chagas_disease,Chronic_kidney_disease,Chronic_obstructive_pulmonary_disease,Cirrhosis_and_other_chronic_liver_diseases,Colon_and_rectum_cancer,Conduct_disorder,Conflict_and_terrorism,Congenital_birth_defects,Cystic_echinococcosis,Cysticercosis,Decubitus_ulcer,Dengue,Depressive_disorders,Dermatitis,Diabetes_mellitus,Diarrheal_diseases,Dietary_iron_deficiency,Diphtheria,Drowning,Drug_use_disorders,Eating_disorders,Ebola,Encephalitis,Endocarditis,"Endocrine,_metabolic,_blood,_and_immune_disorders",Environmental_heat_and_cold_exposure,Esophageal_cancer,Exposure_to_forces_of_nature,Exposure_to_mechanical_forces,Eye_cancer,Falls,"Fire,_heat,_and_hot_substances",Food-borne_trematodiases,Foreign_body,Fungal_skin_diseases,Gallbladder_and_biliary_diseases,Gallbladder_and_biliary_tract_cancer,Gout,Guinea_worm_disease,Gynecological_diseases,HIV_AIDS,Headache_disorders,Hemoglobinopathies_and_hemolytic_anemias,Hodgkin_lymphoma,Hypertensive_heart_disease,Idiopathic_developmental_intellectual_disability,Idiopathic_epilepsy,Inflammatory_bowel_disease,"Inguinal,_femoral,_and_abdominal_hernia",Interpersonal_violence,Intestinal_nematode_infections,Invasive_Non-typhoidal_Salmonella_(iNTS),Iodine_deficiency,Ischemic_heart_disease,Kidney_cancer,Larynx_cancer,Leishmaniasis,Leprosy,Leukemia,Lip_and_oral_cavity_cancer,Liver_cancer,Low_back_pain,Lower_extremity_peripheral_arterial_disease,Lower_respiratory_infections,Lymphatic_filariasis,Malaria,Malignant_neoplasm_of_bone_and_articular_cartilage,Malignant_skin_melanoma,Maternal_disorders,Measles,Meningitis,Mesothelioma,Motor_neuron_disease,Multiple_myeloma,Multiple_sclerosis,Nasopharynx_cancer,Neck_pain,Neonatal_disorders,Neuroblastoma_and_other_peripheral_nervous_cell_tumors,Non-Hodgkin_lymphoma,Non-melanoma_skin_cancer,Non-rheumatic_valvular_heart_disease,Onchocerciasis,Oral_disorders,Osteoarthritis,Other_cardiovascular_and_circulatory_diseases,Other_chronic_respiratory_diseases,Other_digestive_diseases,Other_intestinal_infectious_diseases,Other_malignant_neoplasms,Other_mental_disorders,Other_musculoskeletal_disorders,Other_neglected_tropical_diseases,Other_neoplasms,Other_neurological_disorders,Other_nutritional_deficiencies,Other_pharynx_cancer,Other_sense_organ_diseases,Other_skin_and_subcutaneous_diseases,Other_transport_injuries,Other_unintentional_injuries,Other_unspecified_infectious_diseases,Otitis_media,Ovarian_cancer,Pancreatic_cancer,Pancreatitis,Paralytic_ileus_and_intestinal_obstruction,Parkinson's_disease,Pertussis,Pneumoconiosis,Poisonings,Police_conflict_and_executions,Prostate_cancer,Protein-energy_malnutrition,Pruritus,Psoriasis,Pulmonary_Arterial_Hypertension,Rabies,Rheumatic_heart_disease,Rheumatoid_arthritis,Road_injuries,Scabies,Schistosomiasis,Schizophrenia,Self-harm,Sexually_transmitted_infections_excluding_HIV,Soft_tissue_and_other_extraosseous_sarcomas,Stomach_cancer,Stroke,Sudden_infant_death_syndrome,Testicular_cancer,Tetanus,Thyroid_cancer,Tracheal,"Tracheal,_bronchus,_and_lung_cancer",Trachoma,Tuberculosis,Typhoid_and_paratyphoid,Upper_digestive_system_diseases,Upper_respiratory_infections,Urinary_diseases_and_male_infertility,Urticaria,Uterine_cancer,Varicella_and_herpes_zoster,Vascular_intestinal_disorders,Viral_skin_diseases,Vitamin_A_deficiency,Yellow_fever,Zika_virus
Anxiety_disorders,0.99762726,0.99649405,0.9972168,0.9979882,0.995295,0.99798757,0.9994793,0.9974839,0.9982764,0.9965009,0.9999997,0.9962089,0.996641,0.99815154,0.9971557,0.9995113,0.99911106,0.9969837,0.99954695,0.9971567,0.9978125,0.9973928,0.9976913,0.9977776,0.99719346,0.99756026,0.9958413,0.997536,0.998002,0.9973565,0.99748814,0.9992024,0.99733,0.9973658,0.9955288,0.99605656,0.9977856,0.9964685,0.9997011,0.9976963,0.99800926,0.9976236,0.9977636,0.9970996,0.9974553,0.9993286,0.99946827,0.99602455,0.9971891,0.9961419,0.99800575,0.9977944,0.99691343,0.99694645,0.9974322,0.9965037,0.9984229,0.99763024,0.99630684,0.99604815,0.99569833,0.9969808,0.9965808,0.9976621,0.99575615,0.9977031,0.9980705,0.99825454,0.99741745,0.9967929,0.9979192,0.99846214,0.99824256,0.99775565,0.99620575,0.99883246,0.99621195,0.9962063,0.99701154,0.9974209,0.99683803,0.99691135,0.9956706,0.99671394,0.99685067,0.9971701,0.9969465,0.9984541,0.9977947,0.99794453,0.9958193,0.9965743,0.9969014,0.99715406,0.99806964,0.9971133,0.99713004,0.99697304,0.99770623,0.9967565,0.998185,0.9972706,0.9981133,0.99795806,0.99698967,0.9964656,0.9970243,0.99652547,0.9955958,0.99773216,0.99766326,0.99789417,0.99810874,0.9976465,0.9974537,0.9971743,0.9996195,0.9978965,0.99694794,0.9968678,0.9985193,0.99797,0.9970845,0.9983881,0.9978574,0.9966453,0.99713343,0.99799263,0.997377,0.9972494,0.99702376,0.9972329,0.99611396,0.99804384,0.9972992,0.9973239,0.99771166,0.99771875,0.9975096,0.99757105,0.99780214,0.9977036,0.9974691,0.99665457,0.99715257,0.9977848,0.99762076,0.99645555,0.9966398,0.9993863,0.9993003,0.9980355,0.99668074,0.996744,0.9981805,0.9979102,0.99680954,0.9973649,0.9970338,0.99515915,0.9972851,0.9967109,0.9972172,0.99630886,0.9976648,0.9979557,0.9976674,0.9973385,0.99744546,0.99730146,0.99675333,0.9971301,0.9974065,0.9960854,0.99596447
Aortic_aneurysm,0.9973144,0.99752533,0.99738336,0.99844795,0.9951353,0.99755067,0.9965438,0.99727434,0.9970003,0.9971312,0.9962089,1.0000004,0.9985092,0.9973945,0.99851286,0.99598026,0.9966114,0.9976791,0.99668676,0.9978759,0.99792075,0.99785787,0.9976201,0.9968385,0.9984212,0.9975037,0.99600965,0.9980329,0.9976079,0.9981948,0.99788445,0.9946369,0.99616385,0.998781,0.9971297,0.99659985,0.9983172,0.9962186,0.9970675,0.99749327,0.9979675,0.9977866,0.99754333,0.99672556,0.997376,0.99664545,0.99717253,0.9955429,0.997346,0.99888176,0.99825996,0.9976073,0.9979923,0.99593866,0.99844533,0.9980657,0.9971214,0.99820554,0.99619246,0.99836606,0.9964777,0.99874353,0.99802774,0.997762,0.9955823,0.9981388,0.99727917,0.99826175,0.9977887,0.99754703,0.99841106,0.99717444,0.99752206,0.99795026,0.9986909,0.99584025,0.9960511,0.99635476,0.99627364,0.9984536,0.9980845,0.99797964,0.99588096,0.9967486,0.9972004,0.9977226,0.9977807,0.99766964,0.998963,0.9978346,0.99540263,0.99624276,0.9983828,0.9975246,0.99790347,0.9966048,0.99800247,0.99789953,0.99718136,0.997303,0.99734056,0.9975731,0.9980186,0.9981872,0.99700946,0.997297,0.9977397,0.9992859,0.99512684,0.9979749,0.9979753,0.99896926,0.9979143,0.9985343,0.9981623,0.99799895,0.9970513,0.9985821,0.9965823,0.9982199,0.99829113,0.99732745,0.9978254,0.9976218,0.99815166,0.99602973,0.99814045,0.99739474,0.99787176,0.9976401,0.9978928,0.9986933,0.99875027,0.99691355,0.99669063,0.99758506,0.99753606,0.99525136,0.99771154,0.99727255,0.9977519,0.997357,0.9979911,0.9962198,0.99871516,0.99768025,0.9973178,0.9963195,0.99635357,0.9965909,0.99648106,0.9970308,0.9980495,0.99748707,0.9986129,0.99743265,0.9979719,0.996889,0.9978229,0.99786,0.99777395,0.9961542,0.99745274,0.99651504,0.9985324,0.9978514,0.9985772,0.9974549,0.9978699,0.9975803,0.99875325,0.9974097,0.99671614,0.99568933,0.9955442
Appendicitis,0.9978307,0.9975608,0.997531,0.99866855,0.9950061,0.99770707,0.99670523,0.9977687,0.9967388,0.99753195,0.996641,0.9985092,0.9999999,0.99774265,0.9978951,0.996209,0.99680316,0.9982024,0.9969124,0.9980445,0.99797815,0.9976641,0.99779123,0.9972318,0.9978555,0.99792945,0.9959643,0.9978285,0.99769104,0.9981386,0.9981492,0.99493337,0.9963864,0.9986127,0.9979435,0.997412,0.99856746,0.99654734,0.9973898,0.99795145,0.9979196,0.9984862,0.9980851,0.9971545,0.9977343,0.99693894,0.9977284,0.9956404,0.9975934,0.9985817,0.9983313,0.9976657,0.9980064,0.9958648,0.99807495,0.99834913,0.99748325,0.9983793,0.99675196,0.9984965,0.9970358,0.99890614,0.9981098,0.99799246,0.9960168,0.99863833,0.9975885,0.9986958,0.9978975,0.99782455,0.9981603,0.9973403,0.99775857,0.9983232,0.9991843,0.9963952,0.9968707,0.997106,0.9970598,0.99780726,0.998182,0.99828863,0.9961669,0.9974239,0.9971096,0.99806774,0.997616,0.99798506,0.99850976,0.9983703,0.995993,0.9965699,0.998466,0.9975573,0.9983986,0.9972424,0.998575,0.9981749,0.9969073,0.9972198,0.99729514,0.99741,0.99835336,0.99841696,0.99679446,0.9975422,0.99792564,0.9980539,0.9957205,0.99827266,0.99785197,0.99850905,0.9980145,0.9987914,0.9988755,0.9981969,0.99732727,0.9986488,0.9967941,0.9987464,0.998281,0.9977704,0.99795836,0.99779266,0.99845254,0.99611515,0.99859154,0.9977927,0.9987325,0.99794024,0.99795413,0.9990209,0.9994071,0.996606,0.99703425,0.99767244,0.9978089,0.9959261,0.9977206,0.99785995,0.9982477,0.9975764,0.9975157,0.9966092,0.9985391,0.9977916,0.9975137,0.99707884,0.9969348,0.99678105,0.9969899,0.9975181,0.99822474,0.997645,0.9981716,0.9978569,0.99845856,0.9974012,0.99826103,0.9978216,0.9977658,0.99696034,0.99787986,0.99747777,0.9989179,0.9983912,0.9986325,0.9980291,0.9983204,0.9981035,0.99868387,0.99777025,0.9972447,0.99588513,0.9956094
Asthma,0.99877906,0.99836546,0.9986781,0.99915075,0.99652994,0.99859554,0.99845135,0.99862635,0.9985527,0.9978154,0.99815154,0.9973945,0.99774265,1.0000004,0.99832374,0.99813426,0.99834824,0.99837255,0.9985335,0.9984317,0.99858695,0.9982708,0.9987873,0.9984636,0.9986373,0.99859136,0.99730635,0.99890697,0.99959517,0.9988479,0.9987124,0.9969067,0.9971699,0.9983941,0.9970389,0.9973196,0.9985662,0.9978494,0.9989242,0.9993131,0.9992232,0.9990771,0.9989823,0.99859214,0.99817175,0.9985635,0.99865735,0.99712175,0.9983562,0.9975074,0.99920726,0.9987115,0.9982367,0.9973839,0.9983497,0.99771976,0.998409,0.99877197,0.9977263,0.997299,0.9972341,0.9983874,0.9979178,0.99900514,0.99714255,0.9987794,0.99896103,0.99895805,0.9987265,0.9981993,0.99922746,0.99849933,0.99857605,0.9992066,0.9971401,0.99753755,0.9977208,0.99764234,0.99825186,0.998698,0.99808997,0.9981466,0.9973216,0.9980265,0.99841183,0.99835205,0.9982612,0.99846476,0.99890864,0.99938464,0.99719095,0.9979585,0.99800396,0.998503,0.9989567,0.9985008,0.9984497,0.998425,0.9984514,0.9983116,0.99895704,0.9984845,0.9983032,0.9991684,0.99822104,0.99791044,0.9983064,0.99780446,0.9969341,0.99887055,0.99844813,0.9991136,0.9997375,0.9990173,0.99892175,0.9984637,0.99881864,0.9988826,0.99814266,0.99801093,0.99907535,0.99907404,0.9982586,0.99880874,0.9991156,0.9969033,0.99797946,0.9990185,0.99876213,0.9984145,0.99834394,0.99871445,0.99734807,0.9983677,0.9988755,0.9990074,0.9988449,0.99673396,0.99859196,0.99880683,0.999139,0.99912834,0.99913615,0.9978633,0.9985317,0.999236,0.9979983,0.997785,0.9980925,0.99852556,0.9980597,0.99881023,0.9978925,0.99809337,0.99901044,0.9987792,0.9978712,0.9987345,0.99821454,0.9967139,0.99872077,0.99790967,0.99861854,0.9977047,0.9989777,0.9993867,0.99903756,0.99911517,0.9985422,0.9986407,0.9982571,0.99847496,0.9987505,0.99739033,0.997144
Atrial_fibrillation_and_flutter,0.99772453,0.9978933,0.9982444,0.99873215,0.99521345,0.9979469,0.99752814,0.997674,0.9976668,0.9968154,0.9971557,0.99851286,0.9978951,0.99832374,1.0000004,0.9968359,0.9971362,0.9975359,0.99774075,0.9982078,0.9981465,0.99792695,0.9981486,0.99730724,0.9990263,0.9979245,0.9962379,0.99898815,0.9986926,0.9988109,0.9983541,0.9955174,0.9959694,0.99824965,0.99646986,0.9964518,0.99839056,0.9964871,0.9980684,0.99785256,0.99883276,0.99820024,0.9983273,0.9973078,0.99751335,0.9975754,0.99766904,0.99560267,0.9974249,0.9982763,0.998794,0.9982961,0.9982445,0.99608815,0.99817,0.99748254,0.99807006,0.99819624,0.99640733,0.99708605,0.9960645,0.998559,0.9980962,0.9984233,0.995586,0.9983664,0.9979628,0.99866635,0.99811596,0.99778855,0.99921215,0.99742943,0.9984045,0.99838805,0.9976096,0.99627477,0.99625623,0.9963336,0.9972391,0.99945396,0.9981418,0.9979367,0.9959129,0.9967637,0.9975789,0.99773085,0.99823433,0.9981027,0.99916595,0.9983275,0.995783,0.9966984,0.99781436,0.99773586,0.99841326,0.9971664,0.99784255,0.9977933,0.997516,0.99769247,0.99813056,0.99790823,0.99806297,0.99845815,0.99723434,0.99739885,0.9979415,0.99922216,0.99555033,0.99804294,0.9983101,0.99944943,0.9987639,0.9987086,0.9982847,0.9979478,0.9978186,0.9985045,0.9968162,0.99780977,0.99862874,0.99823105,0.998035,0.9981897,0.998357,0.99591506,0.9975426,0.99811804,0.99790955,0.99791765,0.99803287,0.998553,0.99755937,0.9976377,0.9974909,0.99779606,0.9978705,0.99553543,0.9982644,0.9980119,0.9982468,0.9980199,0.99849236,0.9964706,0.9990428,0.99843633,0.9973421,0.99633926,0.99661964,0.9975884,0.9972179,0.99787766,0.9975762,0.99789625,0.9993782,0.99779534,0.99759865,0.9975771,0.99818593,0.99646753,0.9982064,0.99669033,0.9976159,0.9965018,0.9986486,0.9983328,0.998924,0.9978973,0.998171,0.9978675,0.99841577,0.997349,0.99748296,0.99588716,0.9956738
Attention-deficit_hyperactivity_disorder,0.9973805,0.9964437,0.99709475,0.9978735,0.99536055,0.9980446,0.9992709,0.9972438,0.99842143,0.9963938,0.9995113,0.99598026,0.996209,0.99813426,0.9968359,1.0000004,0.99940884,0.9967582,0.9994159,0.99694955,0.99792284,0.99745876,0.9975596,0.9975937,0.99724174,0.9972696,0.99592626,0.99742323,0.99780357,0.9972505,0.9972371,0.99943477,0.99697965,0.99754554,0.9952945,0.9959997,0.9974416,0.99662983,0.99934703,0.9975664,0.99793136,0.9975182,0.9976974,0.9970694,0.9974197,0.99913085,0.9991586,0.99592704,0.99723077,0.99589026,0.99795777,0.99759126,0.9965879,0.9968415,0.99730724,0.9964574,0.9980903,0.9973995,0.9962322,0.9958977,0.9955402,0.99680316,0.99636954,0.9975256,0.99579334,0.99739623,0.99796724,0.99807125,0.99749774,0.9967843,0.99784356,0.9987996,0.99834317,0.9975497,0.99582887,0.9984875,0.99612516,0.99619657,0.9970144,0.9972138,0.99669755,0.99660033,0.9956832,0.9966265,0.996999,0.9970047,0.9967994,0.9980562,0.9975553,0.9977656,0.99584514,0.99671257,0.99674493,0.9970605,0.9979711,0.9970388,0.9970759,0.9967699,0.9979439,0.9967609,0.9981289,0.99730134,0.99777174,0.99809635,0.99723417,0.9964675,0.99675393,0.9963635,0.99556786,0.9976217,0.9973751,0.9977749,0.9979529,0.9974538,0.9971981,0.9970566,0.9994937,0.99776304,0.9970756,0.9966795,0.9985453,0.997977,0.99688935,0.998387,0.997689,0.996515,0.9970245,0.9978312,0.99725664,0.99704945,0.9968977,0.99706423,0.9957896,0.9982519,0.9972475,0.99722654,0.9977644,0.99734974,0.99735016,0.9975616,0.9975195,0.9974664,0.99759245,0.9965878,0.99693835,0.9975854,0.997551,0.99627596,0.9965829,0.99937695,0.9988556,0.99782765,0.99658126,0.99649215,0.9980374,0.99802697,0.99671394,0.9972997,0.99681723,0.9949014,0.997128,0.99661934,0.99712133,0.9962626,0.99740154,0.9977752,0.99753535,0.9972004,0.9971235,0.99713796,0.9964647,0.99692565,0.99755025,0.99620324,0.99624664
Autism_spectrum_disorders,0.9979879,0.99700767,0.99725205,0.99841577,0.9964817,0.9987096,0.99899375,0.9978757,0.9989161,0.9971937,0.99911106,0.9966114,0.99680316,0.99834824,0.9971362,0.99940884,1.0,0.997563,0.99920547,0.99746716,0.998489,0.998269,0.9980649,0.9983618,0.9978407,0.9976658,0.9967684,0.99767387,0.9979817,0.9976057,0.9977828,0.9986039,0.9978029,0.9983511,0.9963098,0.9968669,0.99795383,0.9974666,0.9991393,0.9980879,0.9981055,0.9979352,0.99810296,0.99769056,0.9978547,0.99899715,0.99918884,0.99728996,0.9980371,0.9967794,0.9983257,0.99799156,0.99694085,0.9977036,0.9980103,0.99719775,0.99819064,0.9980001,0.99684817,0.9968953,0.9963604,0.99723214,0.9968093,0.9980557,0.9967687,0.99786645,0.9984422,0.99832004,0.9981484,0.99711686,0.99791366,0.9995189,0.9988471,0.99806637,0.99650335,0.99863195,0.996749,0.9970047,0.9971517,0.99727434,0.99741167,0.9970855,0.9965046,0.9973309,0.9976495,0.99761295,0.9973522,0.9981884,0.99794805,0.9982534,0.9965629,0.99753714,0.9975101,0.99796844,0.99832433,0.99768347,0.9978139,0.99761933,0.9988515,0.99740636,0.9987059,0.9978835,0.9979506,0.9986752,0.99802095,0.9968951,0.9972062,0.99690855,0.99620026,0.99808955,0.99777913,0.99810964,0.99827814,0.9979234,0.99766964,0.9978042,0.9995388,0.99829525,0.99806106,0.9973915,0.9990439,0.9982311,0.9972322,0.9988151,0.9982984,0.9972526,0.99762,0.99821997,0.99775594,0.99773717,0.9975927,0.99757254,0.9965389,0.9987341,0.9977139,0.99794924,0.99832493,0.99763846,0.9978843,0.9977927,0.99787223,0.99797183,0.99815327,0.9975765,0.99745256,0.99798596,0.9978961,0.99703366,0.9972421,0.99942666,0.9986797,0.9981216,0.9973899,0.99684966,0.9982781,0.9985908,0.99733967,0.9977831,0.9973478,0.9958379,0.9976437,0.99712294,0.9977949,0.9970679,0.9978576,0.9982634,0.99796134,0.9976586,0.99753004,0.9976506,0.99698204,0.99760354,0.9978575,0.99719995,0.99745977
Bacterial_skin_diseases,0.9992652,0.9981378,0.99817705,0.9991309,0.99765486,0.99824506,0.9972524,0.9990676,0.9977926,0.99880856,0.9969837,0.9976791,0.9982024,0.99837255,0.9975359,0.9967582,0.997563,1.0000002,0.9975483,0.9979256,0.9984842,0.9981612,0.99819857,0.9981825,0.9981853,0.9980795,0.997968,0.99789476,0.99798673,0.998244,0.99809897,0.9954418,0.9973145,0.99865603,0.9983493,0.9984963,0.99847883,0.9981814,0.99776787,0.99936736,0.99822766,0.99913126,0.9984833,0.9983834,0.99808073,0.99751866,0.9979974,0.99758846,0.99893546,0.99895614,0.99861026,0.9980922,0.9974791,0.99713784,0.99823284,0.9984774,0.9973486,0.99882406,0.99813104,0.998488,0.9993877,0.9982302,0.9975308,0.9986714,0.9979618,0.9984197,0.99868435,0.99882525,0.998564,0.99825144,0.9981502,0.99813956,0.9981226,0.9986994,0.9977498,0.99683076,0.99835294,0.99870205,0.99746954,0.9974976,0.9979348,0.9978949,0.9984434,0.99904716,0.99816906,0.9983598,0.99767816,0.997754,0.998495,0.9991026,0.9977818,0.99823767,0.9985248,0.99855113,0.9982472,0.9983613,0.99942845,0.9984523,0.99816185,0.9980815,0.99839705,0.99794006,0.9979654,0.9987215,0.997884,0.9981394,0.9979815,0.9975517,0.99765724,0.99884945,0.9978958,0.99849457,0.99848694,0.99870855,0.9991552,0.9984595,0.99794555,0.99889195,0.99859285,0.99846154,0.9987519,0.9982183,0.99782944,0.998241,0.9992726,0.9967599,0.99848634,0.9987642,0.9988912,0.99795175,0.997893,0.9985711,0.998036,0.99769014,0.99810654,0.9986612,0.99886775,0.99633926,0.99796885,0.9980934,0.99915487,0.99895287,0.99829626,0.9982657,0.9985284,0.99862754,0.9975922,0.9991641,0.99827385,0.9975759,0.99721706,0.99842846,0.9984254,0.99736714,0.99815977,0.99817693,0.9982148,0.9983535,0.99800634,0.99745935,0.99804085,0.99802494,0.9992292,0.9988515,0.99865925,0.9991246,0.99858344,0.9991148,0.9980534,0.9991161,0.9978915,0.99931014,0.9979812,0.99792683,0.9976504
Bipolar_disorder,0.9980721,0.9973489,0.99774534,0.9985359,0.99601084,0.9982601,0.99940723,0.998042,0.9989482,0.9968667,0.99954695,0.99668676,0.9969124,0.9985335,0.99774075,0.9994159,0.99920547,0.9975483,1.0000005,0.99767697,0.9982414,0.99809194,0.99820375,0.99797964,0.9979924,0.9978575,0.9965368,0.99809694,0.9984169,0.99795234,0.99796486,0.99870163,0.9972204,0.99791515,0.9959813,0.9965295,0.99793106,0.996976,0.99964374,0.9981965,0.99854034,0.9980898,0.99822235,0.9974239,0.99763584,0.99923825,0.9993651,0.9965072,0.99791384,0.9968185,0.9985988,0.99802935,0.9973675,0.9970779,0.9977669,0.99710375,0.9983461,0.9979129,0.99664885,0.9964576,0.99634355,0.99749964,0.9971055,0.99824125,0.9961971,0.99810797,0.99842995,0.9986209,0.99797153,0.9975415,0.99844885,0.99889326,0.99888784,0.9983554,0.99641836,0.99832654,0.9965497,0.9966871,0.99737054,0.9979402,0.99745196,0.99729013,0.9964155,0.99738824,0.9976914,0.9976545,0.9974991,0.9982917,0.9981478,0.99832565,0.9961934,0.9971303,0.99743223,0.9978352,0.9984488,0.9974338,0.9977772,0.9976098,0.99847686,0.9976097,0.99881595,0.997849,0.9980263,0.9984769,0.9978192,0.9972589,0.99751717,0.99708116,0.9959647,0.9980938,0.99786377,0.9984402,0.99856704,0.9981581,0.99791175,0.9977967,0.9996949,0.99829704,0.99751365,0.997393,0.9990099,0.998393,0.9975135,0.9985743,0.9984088,0.99653417,0.99738413,0.9983468,0.9976635,0.997813,0.99762946,0.9977878,0.9965131,0.9987883,0.99767137,0.9978273,0.99824387,0.997237,0.9980279,0.99803835,0.99823636,0.99832606,0.998076,0.9970909,0.99766386,0.99837464,0.9975973,0.9967988,0.9970248,0.9997629,0.99904156,0.998274,0.9972941,0.99727833,0.99864465,0.99823534,0.9972935,0.9976505,0.9975596,0.99560076,0.99787956,0.9968926,0.9978225,0.9967958,0.99813443,0.9983349,0.9982196,0.9978628,0.99782884,0.9978445,0.99724257,0.9976974,0.9977783,0.99654186,0.99658287
Bladder_cancer,0.99815184,0.99832296,0.99846315,0.9987882,0.99618834,0.99807364,0.9975076,0.9981838,0.9980997,0.9969582,0.9971567,0.9978759,0.9980445,0.9984317,0.9982078,0.99694955,0.99746716,0.9979256,0.99767697,1.0000001,0.9981967,0.9992682,0.99952567,0.99744356,0.9984561,0.9994121,0.99689186,0.99871475,0.9984918,0.998901,0.9996655,0.99556446,0.996119,0.99831337,0.9971271,0.9970987,0.9982257,0.9970621,0.9979998,0.99836403,0.9987208,0.99866515,0.99840766,0.99778265,0.9972988,0.997596,0.99795175,0.9962352,0.9978744,0.9975304,0.9991052,0.9979486,0.9994829,0.99647546,0.9981725,0.9987472,0.99760693,0.99836326,0.99726695,0.99731535,0.9967304,0.9990769,0.999419,0.9986541,0.99634737,0.9994689,0.9983388,0.9984045,0.99821377,0.9989227,0.99873793,0.9978706,0.99809754,0.9989104,0.99775714,0.996454,0.9969792,0.9969598,0.99745435,0.9985461,0.9996379,0.999281,0.9968027,0.9974415,0.9988993,0.9994185,0.99938786,0.9980661,0.99885976,0.99846995,0.9964456,0.99726474,0.9990969,0.99929833,0.9983995,0.99751747,0.99809533,0.99925756,0.9981485,0.99895245,0.9983814,0.9993899,0.99794793,0.99857104,0.9987784,0.998789,0.99963415,0.99791396,0.9961643,0.99874127,0.99836576,0.99886394,0.9987016,0.99944735,0.9987625,0.999544,0.997919,0.9987639,0.9976201,0.99905634,0.9987444,0.99836665,0.999506,0.9981799,0.99930644,0.9957298,0.99746764,0.9984881,0.9981309,0.9995738,0.99955857,0.99883395,0.99784374,0.9980217,0.99796355,0.9984007,0.9982585,0.99559665,0.9995831,0.99800146,0.99851185,0.998524,0.9985019,0.9971799,0.998148,0.9987009,0.99714756,0.9968397,0.9975951,0.9977055,0.9970963,0.9982577,0.99920803,0.99935627,0.9987014,0.99767035,0.9990595,0.997828,0.99931675,0.9976532,0.9996265,0.9970524,0.99827015,0.99700326,0.9994564,0.9984799,0.9993734,0.9979879,0.9995561,0.9980702,0.9984324,0.998262,0.9978706,0.9965573,0.9964806
Blindness_and_vision_loss,0.99874616,0.9981488,0.99807966,0.9990748,0.9967349,0.9993735,0.998019,0.998679,0.99865896,0.99818707,0.9978125,0.99792075,0.99797815,0.99858695,0.9981465,0.99792284,0.998489,0.9984842,0.9982414,0.9981967,0.9999999,0.99865615,0.9984597,0.99810755,0.99857783,0.9982925,0.9971788,0.9985169,0.9984866,0.9984686,0.9983169,0.99647003,0.99736977,0.99912137,0.997484,0.99779475,0.99884045,0.9976323,0.99858147,0.99880934,0.9988255,0.9986187,0.99871916,0.99796635,0.9983968,0.9981203,0.9984607,0.9969681,0.9985461,0.99803066,0.99905664,0.99851555,0.9977994,0.9974431,0.9987735,0.99893594,0.998429,0.9988957,0.99743557,0.99831176,0.99767834,0.99841154,0.9977924,0.998689,0.99719095,0.99862,0.99862844,0.999281,0.9988303,0.9980185,0.99885595,0.99889874,0.9989805,0.99849993,0.9978801,0.997428,0.9973706,0.99723774,0.99779516,0.998208,0.9982013,0.99818695,0.9972595,0.9983274,0.9979889,0.9984139,0.9979741,0.9986406,0.99903804,0.9986877,0.99702036,0.9978492,0.9985647,0.9985046,0.99869114,0.99805015,0.9987394,0.9982726,0.9987348,0.9980304,0.9988605,0.9983589,0.9988076,0.9990905,0.99812084,0.9978108,0.998092,0.9981332,0.9969017,0.99902356,0.9985712,0.9990454,0.99873185,0.99876773,0.9985239,0.99849886,0.9987302,0.99920493,0.99810416,0.9985029,0.9994887,0.9986432,0.9981264,0.9996057,0.9990875,0.99728125,0.99861014,0.99856836,0.9988427,0.9981387,0.9980828,0.99858266,0.99793273,0.9986238,0.99799424,0.9985427,0.99873304,0.99679834,0.9983493,0.998408,0.9988935,0.998554,0.99854404,0.99780905,0.99860924,0.9986122,0.9983366,0.99789083,0.997669,0.998377,0.9978164,0.9983457,0.99818325,0.99764526,0.99904704,0.99865454,0.99821115,0.9981896,0.99820566,0.9972334,0.9982152,0.998173,0.9983821,0.9975312,0.9987101,0.99870956,0.99893624,0.9986023,0.9983203,0.9986806,0.99816513,0.9985839,0.99846,0.99720454,0.99710304
