MeSH Terms,All of Us,Estonian Biobank,FinnGen,Million Veteran Program,UK Biobank
"protein tyrosine phosphatase, non-receptor type 22",0,0,0,0,1
protein tyrosine phosphatases,0,0,0,1,0
"protein tyrosine phosphatases, non-receptor",0,0,0,1,1
protein-arginine deiminase type 4,0,0,0,0,1
protein-arginine deiminases,0,0,0,0,1
protein-arginine n-methyltransferases,0,0,0,0,1
protein-lysine 6-oxidase,0,0,0,0,1
protein-tyrosine kinases,0,0,0,2,2
"proteinase inhibitory proteins, secretory",0,0,0,0,1
proteins,0,0,5,5,19
proteinuria,0,0,0,0,2
proteobacteria,0,0,1,0,0
proteogenomics,1,0,0,0,2
proteoglycans,0,0,0,2,1
proteolipids,0,0,0,1,0
proteolysis,0,0,0,2,1
proteome,1,0,28,11,44
proteomics,0,0,19,17,68
prothrombin,0,0,2,0,5
proto-oncogene mas,0,0,0,1,1
proto-oncogene proteins,0,0,0,2,8
proto-oncogene proteins b-raf,0,0,0,2,0
proto-oncogene proteins c-akt,0,0,0,5,0
proto-oncogene proteins c-bcl-2,0,0,0,2,2
proto-oncogene proteins c-cbl,0,0,0,0,1
proto-oncogene proteins c-jun,0,0,0,1,0
proto-oncogene proteins c-met,0,0,0,1,0
proto-oncogene proteins c-myb,0,0,0,0,1
proto-oncogene proteins c-raf,0,0,0,1,0
proto-oncogene proteins c-sis,0,0,0,0,1
proto-oncogene proteins p21(ras),0,0,0,1,0
proton pump inhibitors,0,0,0,0,14
proton-translocating atpases,0,0,0,1,0
protons,0,0,0,2,4
"protoporphyria, erythropoietic",0,0,0,0,1
protozoan proteins,0,0,0,0,1
prunus dulcis,1,0,0,0,0
prurigo,0,0,1,0,0
pruritus,2,0,1,0,1
pseudomonas aeruginosa,0,0,0,1,0
pseudomonas infections,0,0,0,1,0
pseudotumor cerebri,1,0,0,4,0
psoas muscles,0,0,0,0,1
psoriasis,17,1,20,0,36
psychiatric nursing,3,0,0,0,0
psychiatric status rating scales,0,0,0,4,5
psychiatry,2,0,0,0,0
psychoacoustics,0,0,0,1,1
psychoanalysis,5,0,0,0,0
psychoanalytic interpretation,1,0,0,0,0
psychoanalytic theory,6,0,0,0,0
psychoanalytic therapy,3,0,0,0,0
psychological distance,2,0,0,0,0
psychological distress,1,0,1,0,2
psychological tests,0,0,0,0,1
psychological trauma,0,0,0,0,2
psychological well-being,1,0,1,0,2
psychology,3,0,0,0,3
"psychology, child",1,0,0,0,0
"psychology, educational",1,0,0,0,0
psychometrics,1,0,0,1,4
psychomotor performance,1,0,0,1,5
psychoneuroimmunology,1,0,0,0,0
psychopathology,1,0,0,0,4
psychophysiologic disorders,0,0,0,1,0
"psychoses, substance-induced",0,0,1,0,0
psychosocial deprivation,0,0,0,0,1
psychotherapy,5,0,0,0,0
"psychotherapy, group",1,0,0,0,0
psychotic disorders,3,1,0,1,13
psychotropic drugs,0,0,0,0,6
ptb-associated splicing factor,0,0,0,1,0
pten phosphohydrolase,1,0,0,7,0
puberty,0,0,0,0,9
"puberty, delayed",0,0,0,0,1
"puberty, precocious",0,0,1,0,0
public health,15,1,1,1,7
public health administration,1,0,0,0,0
public health informatics,0,0,0,0,1
public health practice,1,0,0,0,0
public health surveillance,0,0,0,0,13
public opinion,4,0,0,0,3
public policy,0,0,0,1,1
public sector,1,0,0,0,0
public-private sector partnerships,0,0,0,3,1
publication bias,0,0,0,1,0
publications,1,0,0,0,1
publishing,3,0,0,0,1
pudendal nerve,0,0,0,1,0
pulmonary alveoli,0,0,0,2,0
pulmonary arterial hypertension,1,0,2,0,1
pulmonary artery,0,0,0,15,0
pulmonary circulation,0,0,0,5,0
"pulmonary disease, chronic obstructive",0,0,22,3,109
pulmonary embolism,0,0,10,0,10
pulmonary emphysema,0,0,0,0,1
pulmonary eosinophilia,0,0,0,0,1
pulmonary fibrosis,0,0,0,0,2
pulmonary gas exchange,0,0,0,1,0
pulmonary heart disease,0,0,1,0,1
pulmonary medicine,1,0,0,0,0
pulmonary valve,0,0,0,2,0
pulmonary valve stenosis,0,0,0,1,0
pulmonary veins,0,0,0,7,0
pulmonary ventilation,0,0,0,4,0
pulmonary wedge pressure,0,0,0,1,1
pulse wave analysis,0,0,0,1,6
punctures,0,0,0,1,0
purine-nucleoside phosphorylase,0,0,0,0,1
purinergic p2 receptor antagonists,0,0,0,1,0
purines,0,1,0,0,0
"purpura, thrombocytopenic, idiopathic",0,0,3,0,1
putamen,0,0,0,0,4
putrescine,0,0,0,0,2
pyoderma gangrenosum,1,0,0,0,0
pyramidal cells,0,0,0,2,0
pyramidal tracts,0,0,1,0,1
pyrazines,0,0,0,1,0
pyridines,0,0,0,5,0
pyrimidines,0,0,0,3,0
pyrin,0,0,0,0,1
pyrus,0,0,0,0,1
pyruvate kinase,0,0,0,1,0
pyruvates,0,0,0,0,1
qb-snare proteins,0,0,0,0,3
qc-snare proteins,0,0,0,0,1
qualitative research,14,0,0,4,0
"quality assurance, health care",3,0,0,3,1
quality control,2,0,0,3,20
quality improvement,3,0,0,0,2
"quality indicators, health care",1,0,0,1,5
quality of health care,10,0,0,1,0
quality of life,18,1,2,28,23
quality-adjusted life years,0,0,1,1,7
quantitative trait loci,1,2,38,6,204
"quantitative trait, heritable",0,1,0,1,65
quarantine,2,0,0,0,0
quartz,0,0,0,0,1
quebec,0,0,0,0,4
queensland,1,0,0,0,1
quercetin,0,0,0,0,2
quinazolines,0,0,0,1,0
quinolones,0,0,0,0,1
rab gtp-binding proteins,0,0,0,1,0
rabbits,1,0,0,3,0
rac1 gtp-binding protein,0,0,0,1,0
race factors,2,0,0,0,5
racial groups,21,0,0,4,16
racism,5,0,0,0,0
racquet sports,1,0,0,0,0
radial artery,0,0,0,1,0
radiation dosage,2,0,0,6,0
radiation genetics,1,0,0,0,0
radiation injuries,1,0,0,0,0
radiation oncology,1,0,0,0,0
radiation protection,4,0,0,0,0
radiation tolerance,0,0,0,2,0
"radiation, ionizing",1,0,0,0,0
radiation-sensitizing agents,0,0,0,1,0
radicular cyst,0,0,0,1,0
radioactive hazard release,1,0,0,0,0
radiobiology,1,0,0,0,0
radiographic image enhancement,0,0,0,0,1
"radiographic image interpretation, computer-assisted",0,0,0,1,1
radiographic magnification,0,0,0,1,0
radiography,1,0,0,3,2
"radiography, dual-energy scanned projection",0,0,0,1,0
"radiography, interventional",0,0,0,1,0
"radiography, thoracic",0,0,0,2,0
radioisotopes,0,0,0,1,0
radiometry,0,0,0,2,0
radiomics,0,0,0,0,1
radionuclide imaging,0,0,0,1,1
radiopharmaceuticals,0,0,0,10,0
radiosurgery,0,0,0,1,0
radiotherapy,0,0,0,5,0
radiotherapy dosage,0,0,0,10,0
"radiotherapy planning, computer-assisted",0,0,0,2,0
"radiotherapy, adjuvant",1,0,0,4,0
"radiotherapy, computer-assisted",0,0,0,1,0
"radiotherapy, conformal",0,0,0,3,0
"radiotherapy, high-energy",0,0,0,1,0
"radiotherapy, intensity-modulated",0,0,0,2,0
random allocation,0,0,0,3,7
random forest,0,0,0,0,3
randomized controlled trials as topic,4,0,2,12,10
"range of motion, articular",1,0,0,1,1
ranitidine,0,0,0,0,1
rank ligand,0,0,1,0,1
rape,0,0,0,2,0
rare diseases,0,0,0,0,7
ras gtpase-activating proteins,0,0,0,0,1
rats,2,0,0,55,3
"rats, inbred f344",0,0,0,1,0
"rats, sprague-dawley",0,0,0,19,1
"rats, wistar",0,0,0,10,0
raynaud disease,1,0,0,0,0
reaction time,0,0,0,2,16
reactive oxygen species,0,0,0,4,1
reading,0,0,0,0,2
"reagent kits, diagnostic",1,0,0,0,0
reagent strips,0,0,0,0,1
real-time polymerase chain reaction,0,0,0,6,0
receptor activator of nuclear factor-kappa b,0,0,1,0,1
receptor for advanced glycation end products,0,0,0,0,2
receptor protein-tyrosine kinases,0,0,1,1,0
"receptor, adenosine a1",0,0,0,1,0
"receptor, angiotensin, type 1",0,0,0,3,0
"receptor, angiotensin, type 2",0,0,0,3,0
"receptor, cannabinoid, cb1",0,0,0,0,1
"receptor, cannabinoid, cb2",0,0,0,0,1
"receptor, epha1",0,0,0,0,1
"receptor, erbb-3",0,0,0,0,1
"receptor, igf type 1",0,0,0,4,2
"receptor, insulin",0,0,0,0,1
"receptor, interferon alpha-beta",0,0,0,1,0
"receptor, melanocortin, type 1",0,0,0,0,3
"receptor, melanocortin, type 3",0,0,0,0,1
"receptor, melanocortin, type 4",0,0,0,0,6
"receptor, melatonin, mt2",0,0,1,0,8
"receptor, notch1",0,0,0,1,1
"receptor, notch3",0,0,0,0,3
"receptor, par-1",0,0,1,0,1
"receptor, serotonin, 5-ht2b",0,0,0,1,0
"receptor, transforming growth factor-beta type i",0,0,0,1,1
"receptor, transforming growth factor-beta type ii",0,0,0,1,0
"receptor-like protein tyrosine phosphatases, class 3",0,0,0,1,1
"receptors, adrenergic",0,0,0,0,1
"receptors, adrenergic, alpha-1",0,0,0,1,0
"receptors, adrenergic, alpha-2",0,0,0,0,1
"receptors, adrenergic, beta",0,0,0,1,0
"receptors, adrenergic, beta-1",0,0,1,0,0
"receptors, ampa",0,0,0,1,1
"receptors, androgen",0,0,0,1,1
"receptors, angiotensin",0,0,0,2,0
"receptors, antigen, t-cell",0,0,0,0,1
"receptors, aryl hydrocarbon",0,0,0,1,2
"receptors, atrial natriuretic factor",0,0,0,0,2
"receptors, calcitriol",0,0,0,0,7
"receptors, calcium-sensing",0,0,0,0,1
"receptors, cannabinoid",0,0,0,0,1
"receptors, ccr5",0,0,0,0,1
"receptors, cell surface",0,0,0,1,10
"receptors, cholinergic",0,0,0,0,1
"receptors, corticotropin-releasing hormone",0,0,0,2,1
"receptors, cxcr",0,0,0,1,0
"receptors, cxcr4",0,0,0,2,0
"receptors, cytokine",1,0,0,0,0
"receptors, cytoplasmic and nuclear",0,0,0,0,3
"receptors, dopamine d1",0,0,0,1,0
"receptors, dopamine d2",0,0,0,0,1
"receptors, estrogen",0,0,1,1,7
"receptors, g-protein-coupled",0,0,2,8,14
"receptors, gaba",0,0,0,3,0
"receptors, gaba-a",0,0,0,1,0
"receptors, gastrointestinal hormone",0,0,0,0,1
"receptors, glucagon",0,0,0,0,2
"receptors, glutamate",0,0,0,0,1
"receptors, igg",0,0,2,0,0
"receptors, immunologic",0,0,0,0,4
"receptors, interferon",0,0,1,0,1
"receptors, interleukin",0,0,1,0,0
"receptors, interleukin-1",0,0,1,1,2
"receptors, interleukin-6",0,0,1,1,9
"receptors, interleukin-8a",0,0,1,0,0
"receptors, interleukin-8b",0,0,1,0,2
"receptors, kir",0,0,1,0,1
"receptors, laminin",0,0,0,1,0
"receptors, ldl",1,1,5,4,15
"receptors, leptin",0,0,0,0,1
"receptors, lymphocyte homing",0,0,0,0,1
"receptors, mineralocorticoid",0,0,0,2,0
"receptors, muscarinic",0,0,0,1,0
"receptors, n-methyl-d-aspartate",0,0,0,1,1
"receptors, neurokinin-1",0,0,0,1,0
"receptors, neurokinin-3",0,0,0,0,1
"receptors, nicotinic",0,0,0,1,5
"receptors, notch",0,0,0,0,1
"receptors, odorant",0,0,0,0,2
"receptors, opioid, mu",0,0,0,2,1
"receptors, platelet-derived growth factor",0,0,0,1,0
"receptors, progesterone",0,0,0,1,1
"receptors, purinergic p2x1",0,0,0,1,0
"receptors, purinergic p2x3",0,0,0,1,0
"receptors, purinergic p2x7",0,0,0,0,1
"receptors, retinoic acid",0,0,0,0,1
"receptors, serotonin",0,0,0,1,0
"receptors, sigma",0,0,0,0,1
"receptors, thrombin",0,0,1,0,1
"receptors, thrombopoietin",0,0,0,0,1
"receptors, thyrotropin",0,0,1,0,0
"receptors, transforming growth factor beta",0,0,0,1,0
"receptors, tumor necrosis factor",0,0,1,0,0
"receptors, tumor necrosis factor, member 14",0,0,0,0,1
"receptors, tumor necrosis factor, type i",0,0,1,0,0
"receptors, urokinase plasminogen activator",0,0,0,0,1
"receptors, vasoactive intestinal peptide, type ii",0,0,0,0,1
"receptors, virus",0,0,0,1,0
recombinant fusion proteins,0,0,0,10,0
recombinant proteins,0,0,0,18,0
"recombination, genetic",0,0,0,0,2
recovery of function,0,0,1,3,1
recq helicases,0,0,0,0,1
recreation,0,0,1,0,5
rectal neoplasms,1,0,2,0,3
recurrence,0,0,0,19,2
red meat,0,0,2,1,14
reelin protein,0,0,0,0,1
reference standards,0,0,0,0,3
reference values,2,0,0,12,16
referral and consultation,1,0,0,5,3
reflex,0,0,0,9,0
reflex sympathetic dystrophy,0,0,0,1,0
"reflex, vestibulo-ocular",0,0,0,4,0
"refraction, ocular",0,0,0,0,12
refractive errors,1,0,0,1,15
refractive surgical procedures,0,0,0,0,1
refractometry,0,0,0,0,1
refugees,1,0,0,0,0
refusal to participate,0,0,0,0,1
regeneration,0,0,0,0,1
regional blood flow,0,0,0,3,0
registries,0,0,4,10,29
regression analysis,0,0,1,13,34
regulatory factor x transcription factors,0,0,2,0,0
"regulatory sequences, nucleic acid",0,0,1,0,3
reimbursement mechanisms,1,0,0,0,0
"reimbursement, incentive",0,0,0,2,0
reinfection,0,0,0,0,1
rejuvenation,1,0,0,0,0
relaxin,0,0,0,0,1
religion,2,0,0,0,0
religion and medicine,0,0,0,1,0
rem sleep behavior disorder,0,0,0,0,1
reminder systems,1,0,0,0,0
remission induction,0,0,0,2,1
"remission, spontaneous",0,0,0,2,0
remyelination,0,0,0,0,1
renal artery,0,0,0,1,0
renal circulation,0,0,0,1,0
renal colic,0,0,0,0,1
renal dialysis,1,0,0,1,1
renal elimination,0,0,0,0,2
renal insufficiency,0,0,2,0,8
"renal insufficiency, chronic",4,0,10,8,137
renin,0,0,0,0,2
renin-angiotensin system,0,0,0,2,2
reoperation,0,0,0,22,1
reperfusion,0,0,0,1,0
repetition priming,0,0,0,1,0
"repetitive sequences, amino acid",0,0,0,1,0
"repetitive sequences, nucleic acid",0,0,0,2,0
replication protein a,0,0,0,0,1
repressor proteins,0,0,1,3,17
reproducibility of results,7,2,21,63,135
reproduction,1,0,3,0,11
reproductive behavior,0,0,0,0,2
reproductive health,0,0,1,0,5
reproductive history,0,0,0,0,8
reproductive medicine,1,0,0,0,0
reproductive rights,1,0,0,0,0
reproductive techniques,1,0,0,0,0
"reproductive techniques, assisted",0,0,0,0,1
republic of belarus,1,0,0,0,0
republic of korea,0,0,1,1,14
research,10,0,0,1,5
research design,9,0,1,8,19
research personnel,14,0,0,0,1
research subjects,1,0,0,0,2
research support as topic,4,0,0,0,0
researcher-subject relations,1,0,0,0,0
residence characteristics,5,0,0,3,27
residual volume,0,0,0,1,0
"resilience, psychological",3,0,0,0,6
resistance training,1,0,0,1,1
resistin,0,0,1,0,0
respect,1,0,0,0,0
respiration,0,0,0,1,0
respiration disorders,0,0,2,0,5
"respiration, artificial",1,0,0,5,0
respiratory distress syndrome,2,0,1,1,1
respiratory function tests,1,0,1,1,24
respiratory hypersensitivity,0,0,0,0,1
respiratory insufficiency,1,0,0,0,3
respiratory mucosa,0,0,0,1,0
respiratory muscles,1,0,0,0,0
respiratory physiological phenomena,0,0,0,1,2
respiratory sinus arrhythmia,0,0,0,1,0
respiratory sounds,0,0,0,0,2
respiratory system,0,0,0,1,0
respiratory therapy,1,0,0,0,0
respiratory tract diseases,1,0,3,0,27
respiratory tract infections,0,0,7,0,8
response elements,0,0,0,2,0
rest,0,0,0,1,22
restaurants,0,0,0,0,3
restless legs syndrome,1,0,0,0,0
resuscitation,3,0,0,0,0
resuscitation orders,1,0,0,0,0
reticulocytes,0,0,0,0,1
retina,0,0,3,1,46
retinal artery occlusion,0,0,2,0,1
retinal degeneration,0,0,0,0,1
retinal detachment,0,0,0,0,4
retinal diseases,1,0,2,2,13
retinal drusen,0,0,0,0,3
retinal dystrophies,0,0,0,0,1
retinal ganglion cells,0,0,0,0,25
retinal neoplasms,0,0,0,1,0
retinal neurons,0,0,0,0,1
retinal pigment epithelium,0,0,0,0,5
retinal vein occlusion,0,0,2,0,1
retinal vessels,0,0,0,0,13
retinitis pigmentosa,0,0,0,1,0
retinoblastoma,0,0,0,2,0
retinoid x receptors,0,0,0,0,1
"retinol-binding proteins, cellular",0,0,0,0,1
retirement,1,0,0,0,2
retreatment,0,0,0,1,0
retroelements,0,0,0,0,1
retrospective studies,29,3,3,243,127
reverse transcriptase polymerase chain reaction,0,0,0,17,0
reward,0,0,0,0,5
rgs proteins,0,0,0,0,1
rhabdomyosarcoma,0,0,0,1,0
"rhabdomyosarcoma, alveolar",0,0,0,1,0
"rhabdomyosarcoma, embryonal",0,0,0,1,0
rheumatic diseases,0,0,2,1,2
rheumatic fever,0,0,0,0,1
rheumatic heart disease,0,0,1,15,1
rheumatoid factor,0,0,0,1,1
rheumatology,0,0,0,1,0
rhinitis,2,0,0,0,1
"rhinitis, allergic",3,0,7,0,11
"rhinitis, allergic, seasonal",0,0,0,0,6
"rhinitis, vasomotor",0,0,1,0,0
rhinosinusitis,1,0,1,0,1
rho gtp-binding proteins,0,0,0,1,0
rho guanine nucleotide exchange factors,0,0,0,0,3
rhoa gtp-binding protein,0,0,0,0,1
rhob gtp-binding protein,0,0,0,1,0
rhodamine 123,0,0,0,1,0
rhode island,1,0,0,0,0
rhodobacter sphaeroides,0,0,0,1,0
rhombencephalon,0,0,0,1,0
riboflavin,0,0,0,3,0
ribonucleases,0,0,0,1,0
ribonucleoproteins,0,0,0,3,1
ribose,1,0,0,0,0
ribosomal protein s6 kinases,0,0,0,0,1
"ribosomal protein s6 kinases, 70-kda",0,0,0,1,1
ribosomal proteins,0,0,0,2,1
rift valley fever,0,0,0,1,0
rift valley fever virus,0,0,0,1,0
right to die,2,0,0,0,0
ringer's solution,0,0,0,1,0
risk,5,1,3,7,56
risk adjustment,0,0,0,0,2
risk assessment,25,5,34,66,422
risk factors,71,17,321,196,2635
risk management,2,0,0,0,0
risk reduction behavior,1,0,0,4,19
risk-taking,0,0,0,0,11
rituximab,0,0,0,3,0
rivers,0,0,0,1,1
rna,2,0,0,9,1
rna helicases,0,0,0,0,2
rna interference,0,0,0,7,1
rna splice sites,0,0,0,0,1
rna splicing,2,0,0,0,0
rna splicing factors,0,0,0,0,3
rna stability,0,0,0,1,0
rna transport,0,0,0,1,0
"rna, double-stranded",0,0,0,1,0
"rna, guide, crispr-cas systems",0,0,0,1,1
"rna, long noncoding",0,0,1,0,6
"rna, messenger",0,0,1,43,10
"rna, messenger, stored",1,0,0,0,0
"rna, neoplasm",0,0,0,4,0
"rna, plant",0,0,0,2,0
"rna, ribosomal, 16s",0,0,0,1,0
"rna, small interfering",0,0,0,23,0
"rna, small untranslated",0,0,0,1,0
"rna, untranslated",0,0,0,0,1
"rna, viral",0,0,0,3,2
rna-binding proteins,1,0,1,15,8
rna-seq,0,0,1,2,5
robotic surgical procedures,1,0,0,1,0
robotics,0,0,0,5,0
roc curve,6,0,0,7,29
role playing,1,0,0,0,0
rome,0,0,0,1,0
rosacea,6,0,2,0,1
rosales,0,0,0,1,0
rosaniline dyes,0,0,0,0,1
rosiglitazone,0,0,0,0,1
rosuvastatin calcium,0,0,1,0,2
rotation,0,0,0,7,0
rotator cuff,0,0,0,0,6
rotator cuff injuries,0,0,0,0,4
rubella,0,0,0,0,1
"rumination, cognitive",0,0,0,0,1
running,1,0,0,1,0
rupture,0,0,0,3,0
"rupture, spontaneous",0,0,0,2,0
rural health services,1,0,0,0,0
rural population,3,0,0,2,1
russia,1,1,0,1,3
ryanodine receptor calcium release channel,1,0,0,0,1
s phase,0,0,0,1,0
s-adenosylmethionine,0,1,0,0,0
s100 proteins,0,0,0,1,0
saccharomyces cerevisiae,0,0,0,3,1
saccharomyces cerevisiae proteins,0,0,0,3,0
safe sex,1,0,0,0,0
safety,2,0,0,0,0
safety management,3,0,0,0,0
salaries and fringe benefits,1,0,0,0,0
salicylic acid,0,0,1,0,2
"saline solution, hypertonic",0,0,0,1,0
saliva,0,0,0,0,4
salivary gland neoplasms,0,0,1,0,0
salivary proteins and peptides,0,0,0,0,2
salmo salar,0,0,0,1,0
salt tolerance,0,0,0,0,1
salvage therapy,0,0,0,5,0
sam domain and hd domain-containing protein 1,0,0,0,1,1
sample size,1,0,0,0,18
saponins,0,0,0,1,0
sarcoidosis,2,0,2,1,0
sarcoma,0,0,0,2,0
"sarcoma, ewing",0,0,0,1,1
sarcomeres,0,0,0,0,1
sarcopenia,0,0,7,1,74
sars-cov-2,37,0,7,16,161
saudi arabia,1,0,0,0,1
scabies,1,0,0,0,0
scalp,1,0,0,1,0
scandinavian and nordic countries,2,0,0,0,0
scandinavians and nordic people,0,0,0,0,1
scanning laser polarimetry,0,0,0,0,1
"scattering, small angle",0,0,0,1,0
"scavenger receptors, class a",0,0,0,1,1
schistosoma mansoni,0,0,0,1,0
schizophrenia,2,1,7,4,119
schizophrenic psychology,1,0,0,0,4
schizotypal personality disorder,0,0,0,0,1
school health services,1,0,0,1,0
schools,2,0,0,4,1
"schools, dental",1,0,0,0,0
"schools, medical",2,0,0,0,0
schwann cells,0,0,0,1,0
sciatica,0,0,3,0,1
science,4,0,0,0,0
"scleroderma, localized",1,0,0,0,0
"scleroderma, systemic",1,0,3,0,2
sclerosis,0,0,0,3,0
scoliosis,0,0,2,1,3
scotland,0,1,0,0,25
screen time,0,0,1,1,9
sea urchins,1,0,0,1,0
seafood,0,0,0,2,5
seasonal affective disorder,1,0,0,0,1
seasons,0,0,1,3,18
seawater,0,0,0,1,0
secale,0,0,0,0,1
secondary care,0,0,0,0,2
secondary data analysis,1,0,0,0,1
secondary prevention,2,0,0,4,4
secretoglobins,0,1,1,0,0
security measures,1,0,0,0,0
sedentary behavior,0,0,13,18,81
seeds,0,0,0,2,0
seizures,0,0,1,1,1
"seizures, febrile",0,0,0,0,1
selection bias,1,0,0,0,11
"selection, genetic",1,0,1,3,24
selective serotonin reuptake inhibitors,1,0,0,2,1
selenium,0,0,5,1,6
self administration,0,0,0,0,1
self care,3,0,0,1,2
self concept,6,0,0,1,1
self report,7,1,0,15,110
self-assessment,1,0,0,1,0
self-control,0,0,0,0,1
self-help devices,0,0,0,1,0
self-help groups,0,0,0,1,0
self-injurious behavior,1,0,1,0,16
self-management,0,0,0,0,1
sella turcica,0,0,0,1,0
semantic web,1,0,0,0,0
semantics,1,0,0,0,2
semaphorin-3a,0,0,0,0,1
semen,0,0,1,1,0
semicircular canals,0,0,0,4,0
seminiferous tubules,0,0,0,1,0
sensation,2,0,0,1,2
sensitivity and specificity,4,0,0,43,13
sensorimotor cortex,0,0,0,0,2
sensory deprivation,0,0,0,0,1
sensory system agents,0,0,0,1,0
sepsis,0,0,12,1,22
septal occluder device,0,0,0,9,0
septins,0,0,0,0,1
sequence alignment,0,0,0,9,2
sequence analysis,0,0,0,3,2
"sequence analysis, dna",2,2,0,5,15
"sequence analysis, protein",0,0,0,2,0
"sequence analysis, rna",1,0,1,0,5
sequence deletion,0,0,0,5,5
sequence homology,0,0,0,2,0
"sequence homology, amino acid",0,0,0,3,0
"sequence homology, nucleic acid",0,0,0,4,0
serbia,0,0,0,1,0
serine endopeptidases,1,0,1,0,6
serine proteinase inhibitors,0,0,1,0,0
serine-arginine splicing factors,0,0,1,0,0
seroconversion,0,0,0,0,1
seroepidemiologic studies,1,0,0,0,3
serologic tests,0,0,0,1,0
serotonin,0,0,0,1,3
serotonin 5-ht1 receptor agonists,0,0,0,1,0
serotonin 5-ht2 receptor antagonists,0,0,0,1,0
serotonin plasma membrane transport proteins,0,0,0,0,2
serotonin receptor agonists,0,0,0,1,0
serotyping,0,0,0,1,0
serpin e2,0,0,1,0,0
serpins,0,1,1,0,3
serrate-jagged proteins,0,0,0,1,0
sertraline,0,0,0,0,1
serum,0,0,0,0,4
serum albumin,0,1,2,0,8
"serum albumin, human",0,1,0,0,2
sesquiterpenes,1,0,0,1,0
severe acute respiratory syndrome,0,0,0,1,1
severe acute respiratory syndrome-related coronavirus,1,0,0,0,3
severity of illness index,3,1,4,62,52
sewage,0,0,0,1,0
sex attractants,0,0,0,1,0
sex characteristics,1,0,0,4,62
sex chromosome aberrations,0,0,0,1,3
sex chromosome disorders,0,0,0,1,0
sex chromosomes,0,0,0,1,1
sex determination processes,0,0,0,0,1
sex differentiation,0,0,0,0,1
sex distribution,0,0,0,11,6
sex education,1,0,0,2,0
sex factors,10,0,8,13,156
sex hormone-binding globulin,0,1,5,0,48
sex offenses,2,0,0,1,1
sex ratio,0,0,0,0,2
sexism,2,0,0,0,1
sexual and gender minorities,10,0,0,0,3
sexual behavior,9,0,0,2,16
"sexual behavior, animal",1,0,0,0,0
"sexual dysfunction, physiological",0,0,0,0,1
"sexual dysfunctions, psychological",0,0,0,0,1
sexual harassment,0,0,0,1,0
sexual health,0,0,1,0,0
sexual maturation,0,0,0,0,3
sexual partners,0,0,0,2,3
sexuality,1,0,0,1,0
sexually transmitted diseases,1,0,0,0,0
sf9 cells,0,0,0,3,0
sh2 domain-containing protein tyrosine phosphatases,0,0,0,1,0
sheep,0,0,0,6,1
sheep diseases,0,0,0,2,0
shift work schedule,0,0,1,0,34
shigella flexneri,0,0,0,2,0
shock,0,0,0,3,0
"shock, cardiogenic",0,0,0,1,0
"shock, hemorrhagic",0,0,0,1,0
"shock, septic",1,0,0,0,0
shoes,1,0,0,0,0
shoulder impingement syndrome,0,0,0,0,2
shoulder pain,0,0,0,0,2
sialic acid binding ig-like lectin 3,0,0,1,0,1
sialyltransferases,0,0,0,0,1
siblings,2,0,0,0,13
sick sinus syndrome,0,0,0,7,3
sickle cell trait,0,0,0,1,2
sigma-1 receptor,0,0,0,0,1
sigmoidoscopy,0,0,0,0,1
"signal processing, computer-assisted",1,0,0,6,1
signal transduction,0,0,2,44,29
signal-to-noise ratio,0,0,0,1,0
silanes,0,0,0,1,0
simian immunodeficiency virus,0,0,0,1,0
simplexvirus,0,0,0,1,0
simvastatin,0,0,0,0,5
singapore,2,0,0,0,4
single-blind method,0,0,0,9,0
single-cell analysis,0,0,2,0,10
single-cell gene expression analysis,0,0,0,0,1
sinoatrial block,0,0,0,1,0
sinoatrial node,0,0,0,2,0
"sinus thrombosis, intracranial",0,0,0,1,0
sinusitis,2,0,0,0,1
sirtuin 1,0,0,0,0,1
sirtuin 3,0,0,1,0,1
sirtuins,0,0,1,0,1
sitosterols,0,0,1,0,1
sitting position,0,0,0,0,1
situs inversus,0,0,0,1,0
sjogren's syndrome,0,0,8,0,4
skeleton,0,0,0,0,1
skin,3,0,4,11,6
skin absorption,1,0,0,0,0
skin aging,1,0,0,0,6
skin diseases,6,0,2,1,1
"skin diseases, genetic",1,0,0,0,0
skin microbiome,0,0,0,0,1
skin neoplasms,12,0,6,3,29
skin physiological phenomena,0,0,0,1,0
skin pigmentation,0,0,0,0,4
skin transplantation,1,0,0,0,0
skull base,0,0,0,1,0
skull fractures,0,0,0,1,0
sleep,2,0,18,12,226
sleep apnea syndromes,0,0,5,0,8
"sleep apnea, obstructive",4,0,18,3,7
sleep bruxism,0,0,1,0,1
sleep deprivation,0,0,0,0,2
"sleep disorders, circadian rhythm",0,0,0,0,1
sleep duration,0,0,2,4,31
sleep hygiene,0,0,0,0,2
sleep initiation and maintenance disorders,1,0,10,2,81
sleep quality,0,0,0,0,9
sleep wake disorders,1,0,5,0,53
"sleep, rem",0,0,0,0,1
sleepiness,0,0,0,0,1
smad proteins,0,0,0,1,0
smad2 protein,0,0,0,0,1
smad3 protein,0,0,0,2,0
smad8 protein,0,0,0,0,1
small cell lung carcinoma,0,0,2,0,3
small ubiquitin-related modifier proteins,0,0,0,0,2
small-area analysis,0,0,0,0,1
smarcb1 protein,0,0,0,1,0
smartphone,0,0,0,1,1
smegmamorpha,0,0,0,2,0
smell,1,0,0,0,1
smog,0,0,0,0,1
smoke,0,0,0,0,2
smokers,0,0,0,0,5
smoking,3,0,26,12,214
